"species";"quadrat";"habitat_closure"
"PLALAN";1;-1,72429738652332
"PLALAN";2;-1,62480994139797
"PLALAN";3;-1,86357980969881
"PLALAN";4;-1,76409236457346
"PLALAN";5;-1,73319563188767
"PLALAN";6;-1,66250392115174
"PLALAN";7;-1,68450240847318
"PLALAN";8;-1,75309312091274
"PLALAN";9;-1,5239218307417
"PLALAN";10;-1,62925906408014
"ALLsp";1;0,0617803769614126
"ALLsp";2;-0,145845632564203
"ALLsp";3;0,00278824265165655
"ALLsp";4;-0,0700044663806409
"ALLsp";5;0,0727796206221314
"ALLsp";6;0,0940777751781132
"ALLsp";7;0,103676353307921
"ALLsp";8;-0,238782956711013
"ALLsp";9;-0,048706311824659
"ALLsp";10;-0,106297780603504
"CALARV2";1;-0,512198347614369
"CALARV2";2;-0,137194513289293
"CALARV2";3;0,0100386963956551
"CALARV2";4;-0,294273427193491
"CALARV2";5;-0,112147568816591
"CALARV2";6;-0,12314681247731
"CALARV2";7;-0,182138946787066
"CALARV2";8;-0,466553581351141
"CALARV2";9;0,108125475990097
"CALARV2";10;-0,14304430150238
"SANMIN";1;-1,2666551389467
"SANMIN";2;-0,648432313638599
"SANMIN";3;-1,22500628868963
"SANMIN";4;-1,54521998529769
"SANMIN";5;-1,2261598281311
"SANMIN";6;-1,31464802959573
"SANMIN";7;-0,451805547773702
"SANMIN";8;-0,733418851275954
"SANMIN";9;-0,353018435413805
"SANMIN";10;-1,28000250699323
"ALLCHA";1;-0,251429991992085
"ALLCHA";2;0,0851795298137614
"ALLCHA";3;-0,518048135827456
"ALLCHA";4;-0,632983947295704
"ALLCHA";5;-0,0103119993054292
"ALLCHA";6;-0,348569312731629
"ALLCHA";7;-0,378765712651963
"ALLCHA";8;-0,164589582147804
"ALLCHA";9;-0,572591147455037
"ALLCHA";10;-0,417860357936648
"EUPHEL";1;0,431140503659973
"EUPHEL";2;0,462737569111218
"EUPHEL";3;0,266357929335764
"EUPHEL";4;0,345000426581148
"EUPHEL";5;0,358347794627676
"EUPHEL";6;0,470935481710115
"EUPHEL";7;0,278057505761938
"EUPHEL";8;0,45548711536722
"EUPHEL";9;0,292805539339377
"EUPHEL";10;0,306152907385905
"EROCIC";1;-1,14166754267263
"EROCIC";2;-1,20510879966456
"EROCIC";3;-1,17466527365479
"EROCIC";4;-0,925843620548117
"EROCIC";5;-0,953691896082642
"EROCIC";6;-1,58666275496818
"EROCIC";7;-1,68380207570772
"EROCIC";8;-0,798260773798798
"EROCIC";9;-1,03328185218292
"EROCIC";10;-0,786561197372623
"CHRALT";1;0,487084180818465
"CHRALT";2;0,245760107545237
"CHRALT";3;0,228911075671431
"CHRALT";4;0,0889283197304817
"CHRALT";5;0,117023721354448
"CHRALT";6;0,213462709328537
"CHRALT";7;0,33774997283715
"CHRALT";8;0,220713163072535
"CHRALT";9;0,373095828205115
"CHRALT";10;0,214163042093992
"FAGSYL";1;-1,76293882513199
"FAGSYL";2;-1,62740519187322
"FAGSYL";3;-1,86452726855371
"FAGSYL";4;-1,67164929260554
"FAGSYL";5;-1,6414528926852
"FAGSYL";6;-1,63865156162338
"FAGSYL";7;-1,62950619016959
"FAGSYL";8;-1,78658510407378
"FAGSYL";9;-1,64005222715429
"FAGSYL";10;-1,45512503771557
"HIEsp";1;0,428792379274164
"HIEsp";2;-1,71049681180078
"HIEsp";3;-1,58011263398964
"HIEsp";4;-1,5070727988679
"HIEsp";5;-1,38488653365565
"HIEsp";6;-1,66625271106846
"HIEsp";7;0,0549831298934277
"HIEsp";8;-1,82543262326903
"HIEsp";9;-0,0225058279104875
"HIEsp";10;-0,0777491723035233
"BRORUB";1;-1,15126612080244
"BRORUB";2;-1,23225674243363
"BRORUB";3;-1,00918236656512
"BRORUB";4;-1,43848208642833
"BRORUB";5;-0,86545082070745
"BRORUB";6;-1,12621917632973
"BRORUB";7;-1,15596236957405
"BRORUB";8;-0,166237373768157
"BRORUB";9;-0,809507143548958
"BRORUB";10;-1,32449373381498
"SHEARV";1;-0,300123215406578
"SHEARV";2;-0,0527022278308212
"SHEARV";3;0,0540356710385302
"SHEARV";4;-0,146339884743087
"SHEARV";5;0,0430364273778115
"SHEARV";6;0,368399579433497
"SHEARV";7;0,337502846747708
"SHEARV";8;0,094530981854127
"SHEARV";9;0,0907821919374066
"SHEARV";10;-0,267825817189877
"MENSUA";1;1,33814499520858
"MENSUA";2;1,14036468990222
"MENSUA";3;1,82079314175504
"MENSUA";4;0,662165666037938
"MENSUA";5;1,39783746228379
"MENSUA";6;1,16096251169274
"MENSUA";7;1,19185924437853
"MENSUA";8;2,22175033390484
"MENSUA";9;0,806350418571622
"MENSUA";10;1,1867097889309
"SCAATR";1;0,27826358634851
"SCAATR";2;0,414044345696726
"SCAATR";3;0,689066482717565
"SCAATR";4;0,607375528320916
"SCAATR";5;0,869544549474112
"SCAATR";6;1,05422461282339
"SCAATR";7;0,453138990981411
"SCAATR";8;0,542533605798073
"SCAATR";9;0,551678977251866
"SCAATR";10;0,981431903791094
"ORNANG";1;0,542080399122059
"ORNANG";2;0,305905781296463
"ORNANG";3;0,62892080896634
"ORNANG";4;0,680168237353213
"ORNANG";5;0,188621845442406
"ORNANG";6;0,406793891952727
"ORNANG";7;0,216016914300917
"ORNANG";8;0,340551303898972
"ORNANG";9;0,351550547559691
"ORNANG";10;0,337502846747708
"EVAPYG";1;0,0514814660661495
"EVAPYG";2;0,0603797114305013
"EVAPYG";3;0,225862618520167
"EVAPYG";4;-0,0405083992257629
"EVAPYG";5;-0,0847524999580799
"EVAPYG";6;0,0353327669577992
"EVAPYG";7;0,0772287433043072
"EVAPYG";8;0,0109861552505527
"EVAPYG";9;-0,289577178421873
"EVAPYG";10;-0,134146056138029
"OPHLUT";1;0,308707112358285
"OPHLUT";2;0,244565522600898
"OPHLUT";3;0,297007535932111
"OPHLUT";4;0,230764947878356
"OPHLUT";5;0,491286177411199
"OPHLUT";6;0,306358987972477
"OPHLUT";7;0,580927918317302
"OPHLUT";8;0,656769084500864
"OPHLUT";9;0,243865189835442
"OPHLUT";10;0,458288446429043
"CARFLA";1;0,174821270719865
"CARFLA";2;-0,62993549014444
"CARFLA";3;-0,0562449371609695
"CARFLA";4;0,801901295889446
"CARFLA";5;-0,307620795240018
"CARFLA";6;0,0598854592516174
"CARFLA";7;0,366998913902586
"CARFLA";8;0,645522714750704
"CARFLA";9;0,336102181216796
"CARFLA";10;0,69586372978555
"ANAPYR";1;0,842849813381056
"ANAPYR";2;0,484942137019228
"ANAPYR";3;0,432046917012001
"ANAPYR";4;0,717367964928104
"ANAPYR";5;0,519340533532295
"ANAPYR";6;1,11881940925679
"ANAPYR";7;0,136179832111193
"ANAPYR";8;0,6860180255663
"ANAPYR";9;0,960586955911126
"ANAPYR";10;0,279211045203407
"RUMACE";1;1,50292756953279
"RUMACE";2;1,42943452773504
"RUMACE";3;1,78614761915253
"RUMACE";4;1,66746301776756
"RUMACE";5;1,49707778131971
"RUMACE";6;2,08341536958425
"RUMACE";7;1,63611307840576
"RUMACE";8;2,47032486092207
"RUMACE";9;1,35359336155148
"RUMACE";10;1,16586484105093
"EQUTEL";1;2,29079425302042
"EQUTEL";2;1,70960612020351
"EQUTEL";3;1,765549797362
"EQUTEL";4;2,44152912653265
"EQUTEL";5;2,74184533411563
"EQUTEL";6;1,63096362295813
"EQUTEL";7;0,877248209894124
"EQUTEL";8;3,12640670106765
"EQUTEL";9;3,24204284530135
"EQUTEL";10;1,5279745140055
"LINVUL";1;2,40713073001958
"LINVUL";2;1,89733464070406
"LINVUL";3;1,97457647241853
"LINVUL";4;2,29899216561932
"LINVUL";5;2,05696775958063
"LINVUL";6;2,51526929441984
"LINVUL";7;2,01062266055195
"LINVUL";8;2,09816340316169
"LINVUL";9;2,03122048234248
"LINVUL";10;2,38723324099451
"MELARV";1;1,52142439302695
"MELARV";2;1,40508791602779
"MELARV";3;1,47788062506009
"MELARV";4;1,6581115657272
"MELARV";5;1,42943452773504
"MELARV";6;0,976488528930035
"MELARV";7;1,55722345507093
"MELARV";8;1,68105751190353
"MELARV";9;0,729561793533162
"MELARV";10;1,87813748444444
"VERCHA";1;0,522883242862444
"VERCHA";2;0,834899026871602
"VERCHA";3;0,845651144442879
"VERCHA";4;1,17476308641528
"VERCHA";5;0,48028693375048
"VERCHA";6;0,534129612612605
"VERCHA";7;0,233113072264165
"VERCHA";8;0,740808163283323
"VERCHA";9;0,341251636664428
"VERCHA";10;0,726760462471339
"LIMNAR";1;-1,03892555980944
"LIMNAR";2;-0,721513194263208
"LIMNAR";3;-0,199029024163742
"LIMNAR";4;-1,19200855770748
"LIMNAR";5;0,372148369350217
"LIMNAR";6;-0,0585520160439084
"LIMNAR";7;0,198467549661656
"LIMNAR";8;0,556128099934042
"LIMNAR";9;-0,105144241162034
"LIMNAR";10;-0,632324660033118
"ERIANN";1;2,5077717145864
"ERIANN";2;2,68215286704042
"ERIANN";3;1,70680478914169
"ERIANN";4;2,17095611219398
"ERIANN";5;1,2917998961799
"ERIANN";6;1,92823137338985
"ERIANN";7;1,27050174162392
"ERIANN";8;2,76384382143707
"ERIANN";9;1,85379087273719
"ERIANN";10;1,45658247050411
"AMBART";1;-1,65175180358047
"AMBART";2;-1,92327227677403
"AMBART";3;-1,78353664692252
"AMBART";4;-1,88347729872389
"AMBART";5;-1,66555237830301
"AMBART";6;-1,62060794480523
"AMBART";7;-1,56911339032892
"AMBART";8;-1,90337478774896
"AMBART";9;-1,72429738652332
"AMBART";10;-1,84368232067374
"LIMGIR";1;-1,88347729872389
"LIMGIR";2;-1,9431697657991
"LIMGIR";3;-1,96306725482417
"LIMGIR";4;-1,86357980969881
"LIMGIR";5;-1,96306725482417
"LIMGIR";6;-1,88347729872389
"LIMGIR";7;-1,90337478774896
"LIMGIR";8;-1,9431697657991
"LIMGIR";9;-1,9431697657991
"LIMGIR";10;-1,76409236457346
"EUPPEP2";1;-1,92327227677403
"EUPPEP2";2;-1,96306725482417
"EUPPEP2";3;-2,00286223287431
"EUPPEP2";4;-1,9431697657991
"EUPPEP2";5;-1,96306725482417
"EUPPEP2";6;-1,92327227677403
"EUPPEP2";7;-1,96306725482417
"EUPPEP2";8;-1,87997563489661
"EUPPEP2";9;-1,98296474384924
"EUPPEP2";10;-1,96306725482417
"EPIAPH";1;-0,0524551017413793
"EPIAPH";2;0,225162285754711
"EPIAPH";3;0,12217317680208
"EPIAPH";4;0,23616152941543
"EPIAPH";5;-0,117297024264223
"EPIAPH";6;0,230311741202343
"EPIAPH";7;-0,861495950204158
"EPIAPH";8;0,375196826501482
"EPIAPH";9;-1,7142456017175
"EPIAPH";10;-1,35304234211496
