"true_psi";"true_p11";"true_p10";"rel_psi";"rel_p11";"rel_p10";"converged";"estim_sd_lpsi";"estim_sd_lp11";"biais.psi";"error.psi";"BCI_cover.psi";"BCI_width.psi";"mse.psi";"rmse.psi";"biais.p11";"error.p11";"BCI_cover.p11";"BCI_width.p11";"mse.p11";"rmse.p11"
0.1;0.7;0;0.0955;0.708551483420593;0;100;0.362;0.921;-0.002;0.011;94;0.042;0;0.015;0.006;0.05;95;0.197;0.002;0.039
0.1;0.7;0.01;0.0995;0.659966499162479;0.0133259300388673;100;0.257;0.688;0.036;0.012;14;0.046;0.003;0.053;-0.117;0.045;24;0.178;0.038;0.195
0.1;0.7;0.02;0.0885;0.668549905838041;0.0177363320533918;100;0.195;0.636;0.074;0.013;0;0.05;0.003;0.057;-0.201;0.043;0;0.168;0.045;0.212
0.1;0.7;0.05;0.0965;0.671848013816926;0.0499907766094816;100;0.154;0.448;0.197;0.017;0;0.069;0.04;0.2;-0.317;0.031;0;0.12;0.11;0.331
0.1;0.9;0;0.1015;0.893267651888342;0;100;0.376;2.123;-0.002;0.011;92;0.042;0;0.012;0.022;0.038;86;0.131;0.004;0.062
0.1;0.9;0.01;0.109;0.773700305810398;0.00916573138795361;100;0.27;0.908;0.03;0.011;23;0.044;0.001;0.037;-0.161;0.044;1;0.173;0.045;0.212
0.1;0.9;0.02;0.116;0.841954022988506;0.0209276018099547;100;0.224;0.754;0.062;0.012;0;0.047;0.006;0.077;-0.256;0.044;0;0.172;0.055;0.235
0.1;0.9;0.05;0.1045;0.853269537480064;0.0509957193374279;100;0.144;0.546;0.169;0.014;0;0.057;0.03;0.174;-0.406;0.036;0;0.14;0.167;0.408
0.3;0.7;0;0.283;0.710836277974087;0;100;0.547;0.924;-0.002;0.028;98;0.112;0.001;0.037;0.016;0.044;93;0.173;0.003;0.059
0.3;0.7;0.01;0.312;0.697649572649573;0.0113856589147287;100;0.483;0.787;0.024;0.027;87;0.106;0.002;0.043;-0.025;0.041;89;0.161;0.003;0.054
0.3;0.7;0.02;0.3;0.747777777777778;0.0219047619047619;100;0.456;0.745;0.05;0.027;55;0.106;0.002;0.046;-0.065;0.041;66;0.162;0.001;0.031
0.3;0.7;0.05;0.315;0.696825396825397;0.0498783454987835;100;0.341;0.668;0.133;0.024;0;0.095;0.019;0.138;-0.137;0.039;8;0.154;0.015;0.124
0.3;0.9;0;0.2965;0.880831928049466;0;100;0.537;2.595;-0.006;0.027;98;0.108;0.003;0.054;0.029;0.039;77;0.131;0.006;0.077
0.3;0.9;0.01;0.3145;0.899841017488076;0.00899586676391928;100;0.496;1.289;0.022;0.027;89;0.106;0.002;0.039;-0.04;0.036;84;0.138;0.002;0.04
0.3;0.9;0.02;0.2895;0.8664363845711;0.0159512080694347;100;0.457;1.041;0.041;0.026;68;0.103;0.001;0.035;-0.093;0.038;26;0.147;0.006;0.079
0.3;0.9;0.05;0.319;0.812434691745037;0.0491923641703377;100;0.347;0.813;0.111;0.023;0;0.09;0.018;0.134;-0.187;0.039;0;0.153;0.045;0.211
0.5;0.7;0;0.498;0.684069611780455;0;100;0.782;0.959;0.003;0.045;96;0.178;0.003;0.059;0.024;0.043;93;0.169;0.002;0.045
0.5;0.7;0.01;0.4225;0.718343195266272;0.010966810966811;100;0.781;0.82;0.021;0.045;94;0.178;0.005;0.074;0.004;0.039;93;0.155;0.001;0.03
0.5;0.7;0.02;0.448;0.746651785714286;0.0157004830917874;100;0.724;0.81;0.04;0.042;90;0.167;0.002;0.05;-0.021;0.041;89;0.16;0.002;0.042
0.5;0.7;0.05;0.5075;0.743185550082102;0.0483925549915398;100;0.655;0.765;0.102;0.038;22;0.15;0.012;0.109;-0.065;0.041;64;0.161;0.002;0.04
0.5;0.9;0;0.472;0.771186440677966;0;100;0.812;2.665;0.001;0.047;99;0.184;0.003;0.056;0.028;0.041;84;0.136;0.007;0.085
0.5;0.9;0.01;0.4595;0.883931809938339;0.0141843971631206;100;0.772;1.655;0.02;0.045;96;0.176;0.003;0.05;-0.015;0.039;94;0.142;0.002;0.043
0.5;0.9;0.02;0.4935;0.911854103343465;0.0171108917407042;100;0.765;1.365;0.036;0.044;90;0.173;0.003;0.059;-0.032;0.036;92;0.137;0;0.022
0.5;0.9;0.05;0.5075;0.813136288998358;0.0494077834179357;100;0.655;1.045;0.089;0.037;31;0.148;0.012;0.111;-0.095;0.038;17;0.146;0.023;0.151
